,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_sweeteners,sugar_crops,treenuts,vegetable_oils,vegetables,vegetal_products,Unit (all except Population)
85,Africa,Malawi,84475,4247.164,2561,1881955,3.9,19889742,197.519,18.1,2.979,1095.042,71.4,227.349,3.94,4.4,24.7,1.3,64.26,0.483,5.8,1.1827,0.0814,2.7754,0,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0,0.0161,0.204,3.9786,47.2242,%
86,Asia,Malaysia,2870758,85505.712,31978,63709875,76.66,33573874,96.254,29.9,6.293,26808.164,0.1,260.942,16.74,1,42.4,1.9,76.16,0.81,15.6,0.8948,0.0882,12.6354,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0,0.0835,1.6336,6.1678,37.3632,%
87,Asia,Maldives,138880,266330.174,276,843409,70.93,521458,1454.433,30.6,4.12,15183.616,,164.905,9.19,2.1,55,,78.92,0.74,8.6,0.6859,0.0029,14.2704,0.0068,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.1002,0.7569,0.1819,7.718,35.7208,%
88,Africa,Mali,30052,1371.925,714,,,21904983,15.196,16.4,2.519,2014.306,,268.024,2.42,1.6,23,0.1,59.31,0.434,8.6,2.8904,0.0444,10.1637,0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0,0.2374,0.5144,7.2943,39.8262,%
89,Europe,Malta,67717,128556.729,550,1213371,85.66,526748,1454.037,42.4,19.426,36513.323,0.2,168.711,8.83,20.9,30.2,4.485,82.53,0.895,28.9,3.9051,0.2062,13.6092,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0,0.1236,0.486,11.2856,36.3899,%
90,Africa,Mauritania,58243,12620.439,953,,,4614974,4.289,20.3,3.138,3597.633,6,232.347,2.42,,,,64.92,0.546,12.7,0.0055,0.1127,15.0193,0,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0,0,1.5716,3.9784,34.9779,%
91,Africa,Mauritius,105935,81556.53,822,,,1298915,622.962,37.4,10.945,20292.745,0.5,224.644,22.02,3.2,40.7,3.4,74.99,0.804,10.8,3.0805,0.0074,9.27,0.0102,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0,0.0369,2.049,6.7122,40.7175,%
92,North America,Mexico,4942590,39008.6,306091,165750330,60.9,126705138,66.444,29.3,6.857,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,28.9,4.4105,0.1672,15.1527,0.0201,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0,0.1121,0.6856,5.0713,34.8456,%
93,Asia,Mongolia,841848,251464.402,2036,5446952,64.84,3347782,1.98,28.6,4.031,11840.846,0.5,460.043,4.82,5.5,46.5,7,69.87,0.737,20.6,3.143,0.3846,25.8904,0,10.1415,0.3727,0.044,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.468,0,0.0137,0.555,4.3326,24.1046,%
94,Europe,Montenegro,219775,350038.783,2564,654000,44.23,627859,46.28,39.1,14.762,16409.288,1,387.305,10.08,44,47.9,3.861,76.88,0.829,23.3,2.2188,0.2067,22.8328,0.0014,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,0.847,0.1132,0.0865,0.2113,0.0175,1.1955,0.2605,6.0418,0,0.0948,0.4258,5.0001,27.1612,%
95,Africa,Morocco,1132716,30550.711,15400,,,37076584,80.08,29.6,6.769,7485.013,1,419.146,7.14,0.8,47.1,1.1,76.68,0.686,26.1,0.287,0.1449,8.4754,0,18.7029,0.4848,1.3901,7.211,2.5074,3.754,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0,0.2549,0.8168,7.286,41.5224,%
96,Africa,Mozambique,223827,6977.788,2173,,,32077072,37.728,17.7,3.158,1136.103,62.9,329.942,3.3,5.1,29.1,0.7,60.85,0.456,7.2,1.2195,0.0297,4.0111,0,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0,0.2011,0.7509,2.7738,45.9864,%
97,Asia,Myanmar,535532,9954.481,19310,,,53798084,81.721,29.1,5.732,5591.597,6.4,202.104,4.61,6.3,35.2,0.9,67.13,0.583,5.8,0.2195,0.1751,13.5188,0.0034,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,0.3391,0.2298,1.1003,1.2806,0.217,1.4514,0.2298,2.8592,0,0.2913,0.6322,7.0725,36.4807,%
98,Africa,Namibia,155899,61616.481,3967,,,2530151,3.078,22,3.552,9541.808,13.4,243.811,3.94,9.7,34.2,,63.71,0.646,17.2,5.4716,0.1134,9.6094,0.0053,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,0.0009,0.0114,0.9531,2.3626,40.38,%
99,Asia,Nepal,953913,31760.058,11743,31642503,47.97,30034989,204.43,25,5.809,2442.804,15,260.797,7.26,9.5,37.8,0.3,70.78,0.602,4.1,0.3318,0.0312,5.4355,0,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.0594,0.1536,0.0594,0.9107,0.4195,6.0521,0.0319,0.547,3.0677,0.0978,0.8209,9.277,44.5576,%
100,Europe,Netherlands,4547587,259836.932,21356,,,17501696,508.544,43.2,18.779,48472.545,,109.361,5.29,24.4,27.3,3.32,82.28,0.944,20.4,4.3903,0.3343,24.2977,0.0111,4.9685,0.747,1.1517,4.923,4.0105,18.0051,0,0.0397,0.1111,0.0852,0.064,4.2639,0.2904,2.3446,0,0.1587,0.8485,3.2587,25.6959,%
101,Oceania,New Zealand,16620,3239.938,52,9460990,76.54,5129728,18.206,37.9,15.322,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,30.8,5.222,0.7446,17.5777,0.017,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,0,0.1275,0.3296,0.2414,0.0495,3.3719,0.2374,3.8188,0.0109,0.1499,0.5364,6.6889,32.4155,%
102,North America,Nicaragua,13681,1997.069,220,,,6850540,51.667,27.3,5.445,5321.444,3.2,137.016,11.47,,,0.9,74.48,0.66,23.7,1.7194,0.0836,13.1538,0.003,16.8052,0.549,0.6557,3.8377,3.1044,8.5527,0.6658,0.2055,0.3354,1.3618,0.006,1.9118,0.005,5.7021,0,0.003,0.9227,3.5808,36.8356,%
103,Africa,Niger,8652,342.617,298,1798575,4.06,25252722,16.955,15.1,2.553,926,44.5,238.339,2.42,0.1,15.4,0.3,62.42,0.394,5.5,0.0558,0.1185,7.2385,0,22.2843,0.0239,0.2022,2.5503,1.2702,5.4224,0.0687,0.2022,1.4804,3.4838,0.0807,1.3489,0.0349,0.3666,0,0,0.3975,10.6117,42.7585,%
