,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage
105,North America,Mexico,4942590.0,39008.6,306091.0,165750330.0,60.9,126705138.0,66.444,29.3,6.857,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,28.9
106,Asia,Mongolia,841848.0,251464.402,2036.0,5446952.0,64.84,3347782.0,1.98,28.6,4.031,11840.846,0.5,460.043,4.82,5.5,46.5,7.0,69.87,0.737,20.6
107,Europe,Montenegro,219775.0,350038.783,2564.0,654000.0,44.23,627859.0,46.28,39.1,14.762,16409.288,1.0,387.305,10.08,44.0,47.9,3.861,76.88,0.829,23.3
108,Africa,Morocco,1132716.0,30550.711,15400.0,0.0,0.0,37076584.0,80.08,29.6,6.769,7485.013,1.0,419.146,7.14,0.8,47.1,1.1,76.68,0.686,26.1
109,Africa,Mozambique,223827.0,6977.788,2173.0,0.0,0.0,32077072.0,37.728,17.7,3.158,1136.103,62.9,329.942,3.3,5.1,29.1,0.7,60.85,0.456,7.2
110,Asia,Myanmar,535532.0,9954.481,19310.0,0.0,0.0,53798084.0,81.721,29.1,5.732,5591.597,6.4,202.104,4.61,6.3,35.2,0.9,67.13,0.583,5.8
111,Africa,Namibia,155899.0,61616.481,3967.0,0.0,0.0,2530151.0,3.078,22.0,3.552,9541.808,13.4,243.811,3.94,9.7,34.2,0.0,63.71,0.646,17.2
113,Asia,Nepal,953913.0,31760.058,11743.0,31642503.0,47.97,30034989.0,204.43,25.0,5.809,2442.804,15.0,260.797,7.26,9.5,37.8,0.3,70.78,0.602,4.1
114,Europe,Netherlands,4547587.0,259836.932,21356.0,0.0,0.0,17501696.0,508.544,43.2,18.779,48472.545,0.0,109.361,5.29,24.4,27.3,3.32,82.28,0.944,20.4
115,Oceania,New Zealand,16620.0,3239.938,52.0,9460990.0,76.54,5129728.0,18.206,37.9,15.322,36085.843,0.0,128.797,8.08,14.8,17.2,2.61,82.29,0.931,30.8
116,North America,Nicaragua,13681.0,1997.069,220.0,0.0,0.0,6850540.0,51.667,27.3,5.445,5321.444,3.2,137.016,11.47,0.0,0.0,0.9,74.48,0.66,23.7
117,Africa,Niger,8652.0,342.617,298.0,1798575.0,4.06,25252722.0,16.955,15.1,2.553,926.0,44.5,238.339,2.42,0.1,15.4,0.3,62.42,0.394,5.5
118,Africa,Nigeria,253181.0,1186.408,3136.0,0.0,0.0,213401323.0,209.588,18.1,2.751,5338.454,0.0,181.013,2.42,0.6,10.8,0.0,54.69,0.539,8.9
120,Europe,North Macedonia,268901.0,127845.369,8409.0,0.0,0.0,2103330.0,82.6,39.1,13.26,13111.214,5.0,322.688,10.08,0.0,0.0,4.28,75.8,0.774,22.4
121,Europe,Norway,781049.0,144557.832,1440.0,11038015.0,73.99,5403021.0,14.462,39.7,16.821,64800.057,0.2,114.316,5.31,19.6,20.7,3.6,82.4,0.957,23.1
122,not_applicable,Oceania,2769259.0,62242.048,6221.0,62872359.0,57.84,44491772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1
123,Asia,Oman,338880.0,74965.64,4146.0,6600551.0,65.64,4520471.0,14.98,30.7,2.355,37960.709,0.0,266.342,12.61,0.5,15.6,1.6,77.86,0.813,27.0
124,Asia,Pakistan,1430366.0,6181.3,29301.0,0.0,0.0,231402116.0,255.573,23.5,4.495,5034.708,4.0,423.031,8.35,2.8,36.7,0.6,67.27,0.557,8.6
125,Oceania,Palau,1633.0,90601.42,0.0,0.0,0.0,18024.0,47.237,0.0,0.0,13240.405,0.0,0.0,15.89,7.7,22.7,4.8,73.7,0.826,55.3
126,North America,Panama,697124.0,160211.727,7716.0,0.0,0.0,4351267.0,55.133,29.7,7.918,22267.037,2.2,128.346,8.33,2.4,9.9,2.3,78.51,0.815,22.7
